id,first_name,last_name,edad,puntos por partido,rebotes por partido
92,Nappy,Wroe,37,8,49
93,Baryram,Cleary,45,56,95
94,Teresita,McQuarrie,35,77,33
95,Timothea,Farrimond,19,8,36
96,Diann,Fildery,42,37,64
97,Urbanus,Djorevic,38,92,23
98,Jori,Hendrikse,50,13,62
99,Cornie,Jeness,47,69,21
100,Rogers,Brambell,46,17,69
101,Hodge,Melin,29,70,1
102,Cammi,Onslow,42,13,64
103,Augie,McNabb,35,78,46
104,Emili,Prydie,21,87,91
105,Allyn,Vonderdell,24,82,30
106,Paolo,Seldon,21,98,97
107,Kristy,Lehrmann,18,75,5
108,Barney,Drinkale,23,52,73
109,Jenny,Odda,50,21,27
110,Jermaine,Harry,50,93,62
111,Sigismondo,Wyon,31,14,1
112,Janis,Winspurr,48,77,64
113,Klarrisa,Sergean,43,73,22
114,Northrop,Droogan,45,35,21
115,Jermaine,Lamont,39,30,3
116,Artair,Klimowicz,21,59,86
117,Sanders,Gamon,47,37,46
118,Waite,Lumm,40,69,65
119,Alene,Treadway,35,6,91
120,Pauletta,Guiton,34,49,12
121,Molly,Blanshard,43,59,19
122,Gran,Dovidaitis,24,51,86
123,Dotti,Screech,39,75,88
124,Port,Finney,35,82,38
125,Tallulah,Onge,28,85,29
126,Dukie,Haymes,28,17,56
127,Muffin,Koppens,34,36,68
128,Tani,Glaister,33,30,79
129,Alexine,Durden,32,15,51
130,Gerard,Polon,23,86,15
131,Brandon,Zanotti,23,43,98
132,Gabrila,Tureville,25,8,32
133,Heall,Gownge,40,16,73
134,Kelcie,Commings,42,86,41
135,Erika,Bodley,18,43,81
136,Gabrielle,Rittelmeyer,26,40,42
137,Daryl,Ibbs,29,15,71
138,Redford,Rignold,38,80,87
139,Leola,Attwool,36,45,92
140,Kaitlynn,Lygoe,36,96,67
141,Ursulina,Brake,38,52,91
142,Vinnie,Gaffer,42,54,65
143,Penny,Seares,49,24,11
144,Ulrika,Longfellow,46,6,12
145,Darnell,Beetham,35,1,28
146,Duke,Yakuntzov,43,71,85
147,Denny,Coners,19,49,60
148,Sylvan,Boow,18,96,32
149,Wes,Elton,24,46,11
150,Charity,Sutherington,23,51,9
151,Patin,Bosden,22,56,15
152,Amerigo,Le Gall,45,40,53
153,Morley,Coard,50,25,65
154,Jarib,Siggin,18,86,57
155,Hedvig,Sleigh,19,79,60
156,Agnes,Schoenfisch,48,63,57
157,Saunderson,Edkins,38,28,93
158,Brion,Tarpey,20,1,34
159,Gerta,Doran,46,33,70
160,Venus,Brozek,38,4,14
161,Rosana,Quennell,36,58,73
162,Nicky,Callaby,23,66,35
163,Berrie,Gledhall,23,17,62
164,Levin,MacAlaster,45,74,29
165,Bambi,Mersey,36,1,39
166,Georgy,Rikel,36,25,45
167,Kiersten,Lukas,28,6,73
168,Fania,Hawkswell,22,15,84
169,Theresa,Starkings,38,56,21
170,Kassi,Watters,37,72,74
171,Hallsy,Besnard,43,71,31
172,Agnesse,Maginn,46,93,7
173,Emerson,Zoellner,32,31,36
174,Willie,Hasley,40,8,98
175,Bea,Samuel,31,83,5
176,Norrie,Pordal,39,64,38
177,Moritz,Gookey,22,29,55
178,Robb,Kiraly,23,60,17
179,Amalea,McGuirk,23,2,60
180,Moreen,Roof,45,5,3
181,Ursulina,Caplen,29,32,26
182,Garvey,Klesse,37,92,34
183,Corry,Van Vuuren,41,40,18
184,Matias,Aiken,35,29,15
185,Giustino,Dunsmuir,31,18,100
186,Hobart,Goney,36,73,79
187,Keri,Fadian,35,17,14
188,Heath,Quesne,40,30,82
189,Zebadiah,Hapgood,40,78,41
190,Amalie,Hembery,42,95,30
191,Holt,Sorrell,46,92,79
192,Obediah,Cutting,30,85,99
193,Dode,Toleman,34,60,99
194,Kaitlynn,Branchet,37,22,68
195,Gray,Eastwell,26,26,95
196,Franciskus,Dignon,40,79,33
197,Rock,Haskew,29,92,24
198,Leticia,Sheddan,43,35,29
199,Adria,Pedlar,28,13,43
200,Raymund,Dampier,48,41,63
201,Holly-anne,Abrams,42,55,98
202,Pavlov,Bradwell,40,98,21
203,Rowland,Nizet,27,79,96
204,Charo,Gilks,25,8,43
205,Margareta,Salkild,25,72,37
206,Pier,Jeens,43,5,67
207,Cord,Jenton,47,35,86
208,Cally,Norbury,41,76,12
209,Tallie,Soutter,49,32,67
210,Devonna,Billson,41,17,71
211,Erma,Knevet,25,12,9
212,Bearnard,Rustadge,49,79,93
213,Brina,Schult,33,25,72
214,Rhodia,Cordova,36,72,6
215,Rancell,Millis,41,70,1
216,Norina,Towle,30,35,72
217,Natty,Sketchley,27,61,37
218,Augusta,MacArthur,35,33,43
219,Dannel,Cancelier,50,29,41
220,Art,Reckhouse,40,90,73
221,Geralda,Cartwright,33,43,67
222,Anderson,Louiset,48,51,29
223,Maible,Kinchley,29,30,49
224,Averill,Duffer,22,96,29
225,Fran,Pickle,36,31,18
226,Maighdiln,Trevon,20,96,98
227,Welsh,Burland,25,25,40
228,Jeromy,Legg,37,44,76
229,Grayce,Bottby,38,66,13
230,Dionysus,Laurand,18,64,71
231,Lydon,Rotherham,36,37,86
232,Keane,Jerger,31,21,47
233,Shandy,Cattach,30,49,38
234,Waverley,Bogays,27,37,13
235,Marge,Lowson,28,40,41
236,Cam,Buglar,25,18,12
237,Selene,Nerne,41,94,78
238,Misti,Ind,28,52,45
239,Caryl,Gallimore,23,36,75
240,Hermine,Bartlosz,41,71,18
241,Philis,Featherby,27,27,76
242,Anabal,Abell,30,2,74
243,Morton,Sussams,42,9,14
244,Anthe,Rieger,50,92,56
245,Corine,Lampett,45,67,87
246,Brett,Aizkovitch,30,23,72
247,Madeline,Doucette,21,73,35
248,Alejandrina,Joyner,45,84,51
249,Tabbie,Revely,49,7,50
250,Stephanus,Cristofvao,48,74,95
251,Anica,Mattes,41,94,72
252,Orelie,MacIntyre,41,72,70
253,Rora,Bosch,48,39,72
254,Jarib,Welman,41,15,51
255,Julina,Spellecy,48,67,31
256,Kory,Brearley,26,85,13
257,Dorene,Buxcey,30,87,83
258,Sena,Cathery,39,48,45
259,Garry,Issacov,38,19,66
260,Glenda,Giuron,30,90,43
261,Augusto,Balogh,19,35,6
262,Almire,Frediani,31,73,1
263,Meriel,Peat,18,51,51
264,Margot,Lemmens,21,1,1
265,Casie,Ronald,35,48,57
266,Israel,Crossby,46,14,20
267,Jonis,Briddock,28,3,70
268,Janean,Brecknell,19,32,53
269,Wald,Stuther,41,26,52
270,Wells,Dwyr,42,10,91
271,Gar,Fletcher,42,86,10
272,Clay,Rich,21,9,53
273,Leigh,Turban,24,60,51
274,Robert,Fakeley,27,46,82
275,Ezmeralda,Spinelli,34,98,68
276,Astrix,Day,25,11,87
277,Mano,Bevar,27,90,100
278,Adeline,Lucock,38,28,13
279,Torey,Mattam,26,17,32
280,Merralee,Wickie,32,56,30
281,Angelica,Rawstorn,39,93,9
282,Samuele,Cecere,39,66,65
283,Vasily,Howard,29,24,95
284,Melody,Labitt,23,45,34
285,Bradley,Tyrone,45,60,70
286,Tabina,Waszkiewicz,38,31,37
287,Ewart,Taberner,25,77,43
288,Rhea,Hoffner,39,96,56
289,Gabriel,Halksworth,20,74,23
290,Traci,McDiarmid,27,5,91
291,Thedrick,Burton,33,22,2
292,Vern,Beadnall,32,42,64
293,Jerrie,Bolton,44,14,53
294,Burnard,Dawby,49,53,54
295,Erica,Giacobilio,24,76,16
296,Vicky,Harp,31,83,47
297,Rebecka,Connerry,41,42,56
298,Marni,McReynold,44,21,29
299,Ansley,Bowes,41,63,97
300,Ellsworth,Dunsford,43,33,29
301,Terrence,Barlee,25,6,63
302,Arlina,Taggett,21,63,12
303,Archie,Elstob,34,89,32
304,Aldridge,Glencros,22,3,5
305,Randie,Gally,39,78,71
306,Dal,Greatbach,24,85,28
307,Gabriel,Gooderridge,44,9,82
308,Kerrin,Sutherington,48,62,68
309,Reid,Grebert,28,55,21
310,Bartholemy,Feeney,41,80,6
311,Zolly,Dallosso,42,16,66
312,Danya,Shutt,32,12,97
313,Danielle,Eaken,28,41,18
314,Adrienne,Gerg,35,35,100
315,Sean,Steet,50,65,99
316,Orsola,Abella,29,95,47
317,Lidia,Somerset,21,89,22
318,Sharity,Fullard,42,72,23
319,Sheila,Prestige,48,40,55
320,Saraann,Rowantree,26,98,67
321,Shaylynn,Irnys,20,65,50
322,Querida,Tatteshall,42,100,85
323,Serene,Bernardot,22,84,85
324,Stirling,Dearan,37,72,67
325,Kerri,Fagan,24,39,88
326,Vivianne,MacLleese,20,15,96
327,Murielle,Colt,43,13,46
328,Tadeas,Flade,36,39,84
329,Brendis,Kirgan,49,65,81
330,Briant,Throssell,26,68,44
331,Joe,Gladden,39,46,63
332,Mable,Capnerhurst,22,54,43
333,Kristyn,Warhurst,25,81,45
334,Heath,Lilloe,29,86,29
335,Meir,Asals,28,69,11
336,Natal,Thewles,41,85,6
337,Janina,Tack,18,76,1
338,Starlene,Berzin,28,97,88
339,Mada,Treasure,46,48,23
340,Cordy,Duester,27,24,37
341,Forster,Oldall,44,24,48
342,Eb,Titterell,30,73,14
343,Olav,Laxe,22,67,84
344,Erie,Tarquinio,43,97,7
345,Stacy,Monkeman,38,54,23
346,Felic,Hugle,45,14,97
347,Kettie,Kleinerman,30,83,58
348,Titus,Bartrap,24,93,7
349,Rafaela,Neame,25,72,48
350,Luke,Mair,38,49,11
351,Alvin,Brackley,44,53,83
352,Brod,Blowfelde,47,35,61
353,Arthur,Drane,20,71,39
354,Kalil,Trehearn,23,34,56
355,Philbert,Greeno,50,86,8
356,Meghann,Gradly,38,76,74
357,Gabi,Greenhalgh,28,67,95
358,Karee,Fireman,43,92,90
359,Cinderella,Sarre,40,20,10
360,Jecho,Gendricke,42,80,37
361,Andie,Lett,50,63,88
362,Howey,Edmunds,19,78,52
363,Budd,Gouny,43,75,37
364,Martha,Goult,26,71,24
365,Christian,Refford,33,41,62
366,Robbin,Rauprich,39,45,60
367,Emalia,Daid,42,28,55
368,Kizzie,Rubega,42,18,24
369,Kristo,Jiras,46,92,1
370,Dulciana,Rosson,29,33,10
371,Tremain,Savatier,21,23,18
372,Ollie,Cutmore,23,32,33
373,Lind,Palmer,24,31,77
374,Lukas,Binding,33,45,79
375,Lanny,Murgatroyd,45,29,41
376,Rickie,Satyford,43,34,90
377,Miof mela,Woolard,43,12,14
378,Dalt,Ewells,40,11,8
379,Jerrylee,Lead,22,94,53
380,Haskel,Lacoste,28,100,5
381,Valli,McCathay,42,27,51
382,Charlot,Eckersall,24,42,14
383,Garrott,Jenno,50,50,22
384,Anica,Boadby,38,79,49
385,Jackqueline,Caddies,25,77,75
386,Dorothy,Beardsall,46,14,3
387,Fernando,Salmons,38,54,64
388,Prent,Dedham,47,7,37
389,Cointon,Carlton,48,36,43
390,Allie,Patching,28,76,79
391,Berne,Whittet,27,58,3
392,Mick,Khilkov,34,60,5
393,Aubree,MacCarter,42,55,39
394,Celestyn,McCaughan,25,87,19
395,Stephani,Ohm,23,35,21
396,Marten,Fiddymont,42,80,1
397,Guss,Latham,32,44,71
398,Jeremias,Bizley,23,1,46
399,Aguistin,Kemball,33,75,55
400,Cathleen,Binnell,23,67,49
401,Juline,Jiggle,48,71,7
402,Ricky,Scanes,29,8,83
403,Finn,Wennington,26,48,65
404,Timmie,Roper,50,6,70
405,Michelle,Cote,22,87,96
406,Hobard,Elstob,24,21,27
407,Bernie,Burcombe,48,75,22
408,Tudor,Bittlestone,35,92,76
409,Chrissy,Ridhole,20,21,85
410,Merrili,Cogdell,19,27,51
411,Sydel,Rodman,38,27,82
412,Nataniel,Fruchter,45,67,67
413,Darill,Sallier,28,94,94
414,Atlante,Gebhardt,28,70,71
415,Leisha,Laight,21,100,30
416,Peri,Scolli,31,37,91
417,Burg,Schwandermann,33,44,89
418,Arv,Berryann,41,45,12
419,Zacharie,Paoloni,32,14,71
420,Tessi,Hinchon,32,77,62
421,Luisa,Franceschi,26,70,52
422,Hew,Fortin,46,29,25
423,Nial,Vedenichev,22,3,98
424,Karissa,Dales,38,24,21
425,Rusty,Blodgetts,48,37,34
426,Bjorn,Jandera,46,71,15
427,Romola,Ayre,28,66,79
428,Julie,Vickars,31,54,99
429,Corbie,Hinkins,22,17,96
430,Leonie,Titterell,35,86,60
431,Katha,Glasman,27,60,60
432,Jarid,Bish,26,4,44
433,Berne,Conklin,44,41,92
434,Stan,Lemasney,26,45,84
435,Jereme,Roiz,38,33,67
436,Milly,Levis,24,84,87
437,Enrique,Stubs,34,13,25
438,Nigel,Micheli,32,4,36
439,Tudor,Parry,18,15,42
440,Natty,Dickon,29,78,65
441,Cointon,Henner,43,23,14
442,Marlo,Tasseler,23,96,95
443,Hube,Harrill,40,35,99
444,Nevins,Studman,19,69,62
445,Nikos,Bligh,19,42,8
446,Brandais,Whaley,26,15,71
447,Beryl,Outerbridge,35,98,18
448,Christal,Sears,46,55,29
449,Abraham,Riepl,33,95,76
450,Letti,Earingey,24,40,26
451,Emogene,Fryman,33,3,27
452,Barclay,Jiruch,30,13,69
453,Dotty,Reeveley,44,40,55
454,Alfred,Pierri,27,50,24
455,Thibaud,Pudner,38,16,41
456,Osborne,O'Mullally,33,13,91
457,Bobette,Strutt,29,73,31
458,Ginger,Kremer,46,65,8
459,Ag,Brixey,44,29,96
460,Caryl,Tupp,18,32,63
461,Meredithe,Frizzell,44,43,70
462,Chase,Mum,41,60,58
463,Tab,Swepson,20,40,7
464,Birdie,Foottit,30,99,77
465,Erena,Quodling,20,24,93
466,Gerladina,Wallworth,48,64,51
467,Germain,Welland,47,31,9
468,Mufi,Pattie,40,98,50
469,Jackson,Abell,47,94,10
470,Gaspard,Stodart,23,59,15
471,Davidson,Jardine,47,95,79
472,Payton,Billett,25,89,10
473,Westley,Coolson,19,45,60
474,Timoteo,Martschik,47,91,37
475,Ashely,Cescon,22,49,73
476,Carly,Matisoff,29,3,35
477,Noble,Royds,29,22,5
478,Brande,Fay,38,25,88
479,Reggy,Trent,25,20,56
480,Dinny,Halsted,33,71,89
481,Uta,Fassan,39,81,22
482,Trudie,Stourton,50,85,65
483,Andre,Patshull,33,56,11
484,Claude,Haselwood,30,36,52
485,Lorain,Drieu,36,78,34
486,Erica,Edmonston,18,91,74
487,Jaime,Dellenbrook,43,7,62
488,Edna,Jenkyn,43,53,82
489,Vikki,Gason,43,13,12
490,Gregor,Baines,49,45,9
491,Lesya,Standering,19,83,9
492,Marcelle,Youthed,46,75,25
493,Efrem,Rizzardo,38,2,86
494,Shara,Fanning,40,6,51
495,Rosene,Cavey,41,78,58
496,Keene,Tewelson,32,90,51
497,Lorelei,Cudd,48,67,62
498,Theodosia,Corse,45,56,58
499,Tiff,Buckles,26,34,12
500,Deane,Revel,42,72,75
501,Kathie,Cheyney,44,76,81
502,Sylvester,Caustic,18,29,97
503,Giustino,Waggitt,39,87,38
504,Robinette,Lunge,19,48,18
505,Janeta,Manser,38,59,67
506,Conni,Girtin,39,19,31
507,Rosemary,Forsaith,40,5,64
508,Brana,Tuerena,22,27,11
509,Leupold,Hablot,31,90,14
510,Loraine,Andreia,50,17,17
511,Mirna,Asmus,40,25,74
512,Cesar,Lapwood,28,64,92
513,Hyacinthia,Nockles,18,83,32
514,Chrissy,Bert,34,88,40
515,Tova,Critoph,23,29,17
516,Avrom,Longmore,37,48,37
517,Gipsy,Drever,46,15,95
518,Shayna,Dewdney,40,53,49
519,Colline,Mellor,31,45,69
520,Vyky,Revitt,41,61,4
521,Terrie,Sill,35,10,70
522,Brook,Phizakarley,43,53,85
523,Heinrik,Sherborn,40,85,98
524,Stevie,Diddams,44,14,34
525,Derk,Gout,41,23,9
526,Gladys,Bodechon,45,37,37
527,Calvin,Baddiley,20,85,96
528,Brandise,Straker,22,48,53
529,Lynett,Barneveld,34,94,40
530,Aaron,Taffley,34,73,40
531,Tadd,Sonschein,35,34,33
532,Babita,Castilla,36,9,23
533,Cyndie,Stobart,45,4,100
534,Clark,Daborne,47,69,38
535,Rolph,Braddock,20,50,55
536,Danny,Jurczyk,33,50,55
537,Halette,Reihill,23,13,99
538,Damita,Shrieves,18,30,52
539,Steve,Labbez,22,1,79
540,Nesta,Frail,22,80,62
541,Reynold,Januszkiewicz,27,7,64
542,Maurizio,Beslier,43,10,43
543,Kare,Frango,48,25,73
544,Obed,Piquard,31,22,51
545,Bengt,Polin,41,44,68
546,Temple,Causbey,46,36,54
547,Wainwright,Spurling,23,79,72
548,Zsazsa,Burwood,23,59,97
549,Pen,Liddiard,25,46,3
550,Hadrian,Gallgher,18,97,54
551,Beverie,Dring,27,25,72
552,Perceval,Colnett,36,14,1
553,Orelle,MacDiarmid,46,60,36
554,Ulrich,Jaspar,45,47,67
555,Betteanne,Brownfield,47,5,77
556,Lorry,Wytchard,25,81,14
557,Katharyn,Klosser,26,87,72
558,Marc,Skypp,31,49,18
559,Ralf,Gurdon,19,90,3
560,Adair,Carding,46,16,75
561,Thornton,Mossbee,44,49,82
562,Neila,Shepland,32,56,85
563,Sara-ann,Duester,34,6,42
564,Bobbye,Somerlie,47,84,96
565,Frasco,Meni,49,41,62
566,Ernst,MacCardle,23,8,60
567,Mag,Conningham,35,41,32
568,Gladys,Banaszkiewicz,38,79,65
569,Arda,Hudleston,20,5,25
570,Bron,Bedinham,48,100,8
571,Fawn,Bodycombe,48,78,66
572,Burk,Clemits,35,63,84
573,Mariette,Farncomb,27,50,25
574,Garv,Sausman,39,16,27
575,Moore,Carrack,18,64,24
576,Maurie,Georg,32,8,88
577,Donnie,Johann,43,33,15
578,Ariadne,Whiskin,37,70,51
579,Delmar,Bock,27,21,68
580,Darsey,Jaycox,33,10,91
581,Sascha,Copas,41,61,15
582,Freddy,Geertsen,43,29,98
583,Patricio,Akroyd,31,90,71
584,Shellysheldon,Rodmell,22,4,84
585,Manolo,Ridett,27,26,93
586,Ninette,Charte,18,1,33
587,Fredericka,Blare,47,83,61
588,Nickie,Miles,43,19,58
589,Estrellita,Best,41,10,88
590,Fidela,Batten,21,1,97
591,Jorrie,Rissen,43,71,50
592,Tyrus,Gockelen,31,24,3
593,Worth,Gerard,23,37,68
594,Artemas,Darthe,28,80,43
595,Rancell,Pannaman,36,24,75
596,Andriana,Dake,40,67,62
597,Bjorn,Yakobowitch,37,81,6
598,Antony,Rollingson,29,10,95
599,Nickola,Lanyon,21,87,20
600,Taylor,Bartoszinski,29,23,2
601,Ann-marie,Legrand,31,81,70
602,Milzie,Wickey,33,76,79
603,Hal,Wallbridge,35,73,95
604,Emanuele,Knottley,25,77,49
605,Symon,Kimmings,42,100,51
606,Berta,Fortey,31,62,93
607,Chrissy,Innett,50,82,55
608,Bonita,Skittle,44,55,22
609,Jeremiah,Porker,46,96,32
610,Otha,Fritchly,40,20,44
611,Iain,Goldster,39,53,58
612,Robbin,Chestnut,38,50,33
613,Yehudit,Camblin,37,78,70
614,Sergei,Murtell,47,25,82
615,Stafani,Mount,26,76,89
616,Marnia,Surtees,42,79,98
617,Joni,Cathro,38,13,71
618,Bibby,Hobson,24,50,10
619,Aigneis,Hadleigh,26,40,34
620,Boniface,Bolf,32,52,85
621,Griffy,Blazy,29,2,43
622,Mariele,Thewys,41,48,32
623,Frankie,Chartre,24,36,70
624,Diena,Filinkov,31,48,54
625,Rollin,Rittelmeyer,48,29,42
626,Bertha,Klimentyev,40,86,35
627,Hewie,Thridgould,34,41,50
628,Ali,Callington,18,60,19
629,Murdock,Tufts,43,19,8
630,Malorie,Burtwell,36,69,85
631,Lila,Tremolieres,39,80,71
632,Clarey,Gove,45,40,81
633,Ree,O'Scollee,21,83,1
634,Georgia,Croce,27,30,91
635,Nathanael,McGeoch,35,95,5
636,Sarene,Lindborg,26,97,17
637,Lian,Rosten,35,96,79
638,Noam,Boleyn,29,92,81
639,Aviva,Lisimore,40,7,11
640,Arnold,Abells,43,22,42
641,Barry,McBrier,36,77,41
642,Minna,Stoneman,29,5,82
643,Janean,Seine,40,42,60
644,Pauly,Kempson,40,9,11
645,Tedi,Breffitt,30,70,37
646,Brit,Gudgen,33,56,7
647,Tonia,Stephens,33,1,40
648,Hoebart,Mabbett,42,91,89
649,Sophronia,Hartin,36,68,93
650,Farah,Bransdon,20,47,47
651,Tedda,Speere,50,94,33
652,Charita,Fitzroy,42,39,60
653,Mitch,Nice,34,51,54
654,Daryl,Kisbey,34,44,44
655,Bibi,Dillestone,49,77,34
656,Carlin,Bockh,23,48,88
657,Retha,Perrin,33,98,18
658,Amber,McCumesky,32,6,18
659,Nanny,Watson,20,51,58
660,Florrie,Skelding,47,76,91
661,Phip,Staden,29,34,54
662,Raddie,Hopkins,18,74,20
663,Nellie,McMains,43,11,96
664,Nelia,Schelle,36,29,49
665,York,Eldrid,38,54,41
666,Ailyn,Stratiff,45,82,29
667,Norine,Bollam,29,75,65
668,Dionysus,Putterill,50,44,28
669,Sal,Kirton,20,24,62
670,Rip,Nucci,34,5,11
671,De witt,Ivanyushkin,49,27,46
672,Nichole,Olyonov,23,92,69
673,Gregorio,Mattersey,41,69,35
674,Judye,Scintsbury,21,64,8
675,Baudoin,Ellicott,31,31,2
676,Nananne,Mohan,41,82,41
677,Kiel,Bardnam,27,36,4
678,Waylin,Oxx,50,50,73
679,Carolina,Lavigne,22,5,85
680,Martainn,Paradin,39,96,54
681,Wynn,Birts,19,90,60
682,Fremont,Bourcq,33,17,59
683,Marchall,Dumbellow,44,78,62
684,Janeva,Risebrow,20,8,25
685,Mahala,Scardafield,40,94,89
686,Lanny,Sollars,40,20,36
687,Marlane,Marran,19,32,75
688,Craggie,Berge,34,33,81
689,Raquela,Wiles,48,26,8
690,Maxi,Duigan,25,11,17
691,Astra,Thirlwall,24,78,5
692,Phineas,Kemp,25,77,47
693,Leif,Gwyllt,27,99,64
694,Lesley,Maving,42,81,45
695,Livvyy,Habbal,25,27,48
696,Rice,Sprowson,48,55,77
697,Rita,Joscelyne,28,61,50
698,Curry,Keijser,43,88,70
699,Peg,Choppin,50,18,94
700,Lita,Beck,24,38,74
701,Norbert,Bouts,19,55,83
702,Alvy,Gresch,27,65,49
703,Alleen,Wittier,39,83,76
704,Reidar,Mabbitt,23,42,36
705,Donall,Volage,41,28,57
706,Arden,Kwietek,47,88,25
707,Magnum,Baitey,49,6,90
708,Nelson,Fishpond,33,40,2
709,Storm,Semrad,42,2,98
710,Heda,Titherington,20,81,72
711,Jacquelynn,Bolin,24,68,11
712,Pascal,Wooland,50,89,78
713,Amalita,Nutter,29,73,85
714,Miquela,Casella,47,31,75
715,Odella,Pogg,29,57,23
716,Winni,Baggott,20,75,50
717,Ketty,Begwell,40,64,80
718,Ingemar,Mouser,25,41,35
719,Hatty,Wolfinger,47,81,4
720,Daniella,Suart,22,81,69
721,Gaylord,Romera,44,19,67
722,Mandy,Gooch,20,32,23
723,Addy,Wanderschek,36,15,44
724,Cookie,Sprowles,26,46,15
725,Salem,McArdell,46,30,64
726,Roberta,Bengefield,34,85,58
727,Corbie,Shewery,40,17,60
728,Jobie,Diggar,44,62,92
729,Frannie,Rigg,33,19,57
730,Karlen,Cazalet,24,81,80
731,Tiffie,Fludgate,37,94,60
732,Nathanial,Borland,45,41,35
733,Arlie,Kearsley,32,25,13
734,Rosina,Garvin,28,19,44
735,Darbie,Brisbane,39,50,79
736,Forster,Faustian,24,76,27
737,Gunar,Meyer,29,48,83
738,Jackquelin,Burnip,44,91,74
739,Helli,Philippou,20,93,84
740,Mitchael,Klehn,29,98,20
741,Gayla,Klebes,45,67,94
742,Elora,Fassam,50,4,58
743,Leif,Sally,45,64,12
744,Hazel,Mattersey,22,46,76
745,Marthena,Gorgen,26,79,93
746,Delcina,Harniman,46,13,17
747,Connie,Vallentin,39,46,65
748,Abigale,Brice,19,3,18
749,Rheba,Colegrove,50,73,33
750,Tucky,Berggren,30,10,4
751,Madison,Fassan,46,38,46
752,Nananne,Lyosik,50,13,50
753,Bunni,Tertre,27,72,79
754,Milicent,Danielczyk,44,95,92
755,Lauryn,Dobrowolski,28,31,47
756,Tripp,Torritti,38,74,15
757,Dillon,Thompsett,43,26,44
758,Jody,Chaff,38,3,24
759,Arney,Francomb,43,68,51
760,Germayne,Ballchin,18,81,46
761,Christoffer,Torri,50,99,51
762,Dmitri,Fulun,44,78,7
763,Claudianus,Rackham,41,3,45
764,Rena,Swithenby,34,67,48
765,Paola,Cleal,40,31,18
766,Alyss,Chafney,33,94,55
